season,target,label,market,line,n_val,base_rate,Model_logloss,Model_brier,Model_acc
2022/2023,corners_over_8_5,Corners O8.5,CORNERS,8.5,376,0.651595744680851,0.6516001358292093,0.22919270540170444,0.651595744680851
2022/2023,corners_over_9_5,Corners O9.5,CORNERS,9.5,376,0.5398936170212766,0.6931260968433133,0.2499630240067107,0.5398936170212766
2022/2023,corners_over_10_5,Corners O10.5,CORNERS,10.5,376,0.42819148936170215,0.6820240422032464,0.2444811118112942,0.574468085106383
2022/2023,home_corners_over_4_5,Home Corners O4.5,HOME CORNERS,4.5,376,0.6090425531914894,0.5969657493623716,0.20581652391159108,0.6702127659574468
2022/2023,away_corners_over_3_5,Away Corners O3.5,AWAY CORNERS,3.5,376,0.5664893617021277,0.613313945624475,0.21313879544091655,0.651595744680851
2022/2023,bookings_over_3_5,Bookings O3.5,BOOKINGS,3.5,376,0.4654255319148936,0.6923796320275968,0.24941387929077816,0.5372340425531915
2022/2023,bookings_over_4_5,Bookings O4.5,BOOKINGS,4.5,376,0.2898936170212766,0.5911737323929963,0.20104903600714463,0.7074468085106383
2022/2023,bookings_over_5_5,Bookings O5.5,BOOKINGS,5.5,376,0.17553191489361702,0.47221784839474296,0.14636718979613486,0.824468085106383
2022/2023,home_bookings_over_1_5,Home Bookings O1.5,HOME BOOKINGS,1.5,376,0.5132978723404256,0.6680029708143427,0.23761234468362905,0.5904255319148937
2022/2023,away_bookings_over_1_5,Away Bookings O1.5,AWAY BOOKINGS,1.5,376,0.5797872340425532,0.6862335147762291,0.24655469911899341,0.5638297872340425
2022/2023,shots_over_22_5,Shots O22.5,SHOTS,22.5,376,0.6356382978723404,0.4137203151399507,0.1329560872425285,0.7978723404255319
2022/2023,shots_over_24_5,Shots O24.5,SHOTS,24.5,376,0.526595744680851,0.4315185172815842,0.136640123913881,0.824468085106383
2022/2023,shots_over_26_5,Shots O26.5,SHOTS,26.5,376,0.3882978723404255,0.45710832473621493,0.14823924245987763,0.773936170212766
2022/2023,home_shots_over_11_5,Home Shots O11.5,HOME SHOTS,11.5,376,0.651595744680851,0.19939296827470174,0.05572353906077883,0.9281914893617021
2022/2023,away_shots_over_9_5,Away Shots O9.5,AWAY SHOTS,9.5,376,0.598404255319149,0.24971256266203973,0.07538376205611658,0.898936170212766
2022/2023,sot_over_7_5,SOT O7.5,SHOTS ON TARGET,7.5,376,0.6542553191489362,0.5375472371633463,0.18038759467642015,0.7393617021276596
2022/2023,sot_over_8_5,SOT O8.5,SHOTS ON TARGET,8.5,376,0.5186170212765957,0.5755636122439568,0.19497105906083062,0.7207446808510638
2022/2023,sot_over_9_5,SOT O9.5,SHOTS ON TARGET,9.5,376,0.3882978723404255,0.5754057535463015,0.19681279787341213,0.6808510638297872
2022/2023,home_sot_over_3_5,Home SOT O3.5,HOME SOT,3.5,376,0.6968085106382979,0.44920968741299777,0.14982506041050137,0.7712765957446809
2022/2023,away_sot_over_2_5,Away SOT O2.5,AWAY SOT,2.5,376,0.6914893617021277,0.5029521660359221,0.16594036377187033,0.7553191489361702
2022/2023,fouls_over_20_5,Fouls O20.5,FOULS,20.5,376,0.5372340425531915,0.5944378491181335,0.20363971288159258,0.6861702127659575
2022/2023,fouls_over_22_5,Fouls O22.5,FOULS,22.5,376,0.40425531914893614,0.5765351072470534,0.19657085047315917,0.699468085106383
2022/2023,fouls_over_24_5,Fouls O24.5,FOULS,24.5,376,0.27393617021276595,0.4926750615374525,0.16383767967318383,0.7313829787234043
2022/2023,home_fouls_over_9_5,Home Fouls O9.5,HOME FOULS,9.5,376,0.6117021276595744,0.6165605178483767,0.21379438295429182,0.6675531914893617
2022/2023,away_fouls_over_9_5,Away Fouls O9.5,AWAY FOULS,9.5,376,0.6356382978723404,0.6130011726643676,0.2113676462119324,0.6941489361702128
2022/2023,first_half_over_0_5,1H Goals O0.5,1ST HALF GOALS,0.5,376,0.7446808510638298,0.5541867223201064,0.1843946602622894,0.7526595744680851
2022/2023,first_half_over_1_5,1H Goals O1.5,1ST HALF GOALS,1.5,376,0.3803191489361702,0.6225315931890875,0.2176512424336439,0.6223404255319149
2022/2023,first_half_btts,1H BTTS,1ST HALF GG/NG,0.5,376,0.21010638297872342,0.4870695100706853,0.15688786072089675,0.7898936170212766
2023/2024,corners_over_8_5,Corners O8.5,CORNERS,8.5,376,0.7393617021276596,0.5646045306799939,0.189679457575796,0.7446808510638298
2023/2024,corners_over_9_5,Corners O9.5,CORNERS,9.5,376,0.6117021276595744,0.6482121668729371,0.22822211238029882,0.6409574468085106
2023/2024,corners_over_10_5,Corners O10.5,CORNERS,10.5,376,0.5212765957446809,0.6843507145897765,0.2455621480331052,0.5771276595744681
2023/2024,home_corners_over_4_5,Home Corners O4.5,HOME CORNERS,4.5,376,0.6276595744680851,0.5932998617673031,0.20314297486299174,0.6781914893617021
2023/2024,away_corners_over_3_5,Away Corners O3.5,AWAY CORNERS,3.5,376,0.6329787234042553,0.5690947665307386,0.19348235872993766,0.7180851063829787
2023/2024,bookings_over_3_5,Bookings O3.5,BOOKINGS,3.5,376,0.6117021276595744,0.7113789495884986,0.2583238834554746,0.5079787234042553
2023/2024,bookings_over_4_5,Bookings O4.5,BOOKINGS,4.5,376,0.4228723404255319,0.7211729901956646,0.258578765083464,0.5797872340425532
2023/2024,bookings_over_5_5,Bookings O5.5,BOOKINGS,5.5,376,0.23670212765957446,0.5798872659771939,0.18955621643988804,0.7632978723404256
2023/2024,home_bookings_over_1_5,Home Bookings O1.5,HOME BOOKINGS,1.5,376,0.5585106382978723,0.6930182882449134,0.24992399187450498,0.5079787234042553
2023/2024,away_bookings_over_1_5,Away Bookings O1.5,AWAY BOOKINGS,1.5,376,0.6861702127659575,0.6645455182091142,0.235878148699843,0.6170212765957447
2023/2024,shots_over_22_5,Shots O22.5,SHOTS,22.5,376,0.7925531914893617,0.2782455503113356,0.08040990085888645,0.898936170212766
2023/2024,shots_over_24_5,Shots O24.5,SHOTS,24.5,376,0.6781914893617021,0.3430286068358585,0.10270364429519976,0.8696808510638298
2023/2024,shots_over_26_5,Shots O26.5,SHOTS,26.5,376,0.5452127659574468,0.39640899388654804,0.12165722703323897,0.851063829787234
2023/2024,home_shots_over_11_5,Home Shots O11.5,HOME SHOTS,11.5,376,0.7180851063829787,0.14549113220849738,0.039725524729833185,0.9388297872340425
2023/2024,away_shots_over_9_5,Away Shots O9.5,AWAY SHOTS,9.5,376,0.648936170212766,0.16438208911637356,0.04295782593907213,0.949468085106383
2023/2024,sot_over_7_5,SOT O7.5,SHOTS ON TARGET,7.5,376,0.7420212765957447,0.5184845206889993,0.17084158535357488,0.7686170212765957
2023/2024,sot_over_8_5,SOT O8.5,SHOTS ON TARGET,8.5,376,0.6170212765957447,0.5635827560769148,0.1909263803853239,0.6968085106382979
2023/2024,sot_over_9_5,SOT O9.5,SHOTS ON TARGET,9.5,376,0.4973404255319149,0.5737579398658545,0.1959050381865689,0.699468085106383
2023/2024,home_sot_over_3_5,Home SOT O3.5,HOME SOT,3.5,376,0.7446808510638298,0.35514864416098846,0.11276954416630577,0.851063829787234
2023/2024,away_sot_over_2_5,Away SOT O2.5,AWAY SOT,2.5,376,0.7819148936170213,0.40490557041861536,0.12951624260577474,0.8138297872340425
2023/2024,fouls_over_20_5,Fouls O20.5,FOULS,20.5,376,0.601063829787234,0.5890956520463791,0.20100335943054728,0.7021276595744681
2023/2024,fouls_over_22_5,Fouls O22.5,FOULS,22.5,376,0.4627659574468085,0.6020220185234092,0.20750769627198914,0.675531914893617
2023/2024,fouls_over_24_5,Fouls O24.5,FOULS,24.5,376,0.31382978723404253,0.5472635959066169,0.1849221967342695,0.7180851063829787
2023/2024,home_fouls_over_9_5,Home Fouls O9.5,HOME FOULS,9.5,376,0.6170212765957447,0.6469066416960872,0.22769214081026068,0.6196808510638298
2023/2024,away_fouls_over_9_5,Away Fouls O9.5,AWAY FOULS,9.5,376,0.6914893617021277,0.5761388070498215,0.19482019086497515,0.7287234042553191
2023/2024,first_half_over_0_5,1H Goals O0.5,1ST HALF GOALS,0.5,376,0.75,0.553243207742256,0.1837353784468803,0.75
2023/2024,first_half_over_1_5,1H Goals O1.5,1ST HALF GOALS,1.5,376,0.4228723404255319,0.6538551145983746,0.23113034601883553,0.601063829787234
2023/2024,first_half_btts,1H BTTS,1ST HALF GG/NG,0.5,376,0.23670212765957446,0.5131333470214354,0.16849276537309554,0.7659574468085106
2024/2025,corners_over_8_5,Corners O8.5,CORNERS,8.5,376,0.7021276595744681,0.6061360365263121,0.2080246362161059,0.7021276595744681
2024/2025,corners_over_9_5,Corners O9.5,CORNERS,9.5,376,0.5930851063829787,0.6690628047841224,0.23813035072285788,0.6063829787234043
2024/2025,corners_over_10_5,Corners O10.5,CORNERS,10.5,376,0.4787234042553192,0.6827317468813281,0.24475270227018164,0.5771276595744681
2024/2025,home_corners_over_4_5,Home Corners O4.5,HOME CORNERS,4.5,376,0.5531914893617021,0.6065394281004195,0.21041159673639293,0.6329787234042553
2024/2025,away_corners_over_3_5,Away Corners O3.5,AWAY CORNERS,3.5,376,0.6329787234042553,0.6003430762255751,0.2077266291207221,0.6648936170212766
2024/2025,bookings_over_3_5,Bookings O3.5,BOOKINGS,3.5,376,0.5877659574468085,0.6707099222746572,0.23888021325755415,0.5877659574468085
2024/2025,bookings_over_4_5,Bookings O4.5,BOOKINGS,4.5,376,0.38563829787234044,0.671493390572202,0.23875589548188947,0.6063829787234043
2024/2025,bookings_over_5_5,Bookings O5.5,BOOKINGS,5.5,376,0.2393617021276596,0.564622503751743,0.18628541949307717,0.7606382978723404
2024/2025,home_bookings_over_1_5,Home Bookings O1.5,HOME BOOKINGS,1.5,376,0.5585106382978723,0.6693782692264303,0.23828441353997484,0.5851063829787234
2024/2025,away_bookings_over_1_5,Away Bookings O1.5,AWAY BOOKINGS,1.5,376,0.6436170212765957,0.6258672386160818,0.2175487128490184,0.6648936170212766
2024/2025,shots_over_22_5,Shots O22.5,SHOTS,22.5,376,0.7047872340425532,0.2741914692237571,0.07819632104313355,0.9069148936170213
2024/2025,shots_over_24_5,Shots O24.5,SHOTS,24.5,376,0.598404255319149,0.3288143947749139,0.09569986803343646,0.8882978723404256
2024/2025,shots_over_26_5,Shots O26.5,SHOTS,26.5,376,0.449468085106383,0.35633924058241295,0.10717656207477382,0.8670212765957447
2024/2025,home_shots_over_11_5,Home Shots O11.5,HOME SHOTS,11.5,376,0.601063829787234,0.14306041374045028,0.03742171356986276,0.949468085106383
2024/2025,away_shots_over_9_5,Away Shots O9.5,AWAY SHOTS,9.5,376,0.6914893617021277,0.13605127515629828,0.03370192807267603,0.9680851063829787
2024/2025,sot_over_7_5,SOT O7.5,SHOTS ON TARGET,7.5,376,0.6941489361702128,0.5354409424979486,0.18027915294066132,0.7313829787234043
2024/2025,sot_over_8_5,SOT O8.5,SHOTS ON TARGET,8.5,376,0.5531914893617021,0.5922784341336207,0.20243255140573294,0.6622340425531915
2024/2025,sot_over_9_5,SOT O9.5,SHOTS ON TARGET,9.5,376,0.4228723404255319,0.5837819617437253,0.19813620303634247,0.6914893617021277
2024/2025,home_sot_over_3_5,Home SOT O3.5,HOME SOT,3.5,376,0.675531914893617,0.4347611425084982,0.13951982595493953,0.8031914893617021
2024/2025,away_sot_over_2_5,Away SOT O2.5,AWAY SOT,2.5,376,0.7898936170212766,0.37352162526146254,0.11520935264587638,0.8324468085106383
2024/2025,fouls_over_20_5,Fouls O20.5,FOULS,20.5,376,0.6223404255319149,0.5428767475548283,0.18195269121795665,0.7047872340425532
2024/2025,fouls_over_22_5,Fouls O22.5,FOULS,22.5,376,0.4654255319148936,0.577262832742843,0.1996364204315774,0.6622340425531915
2024/2025,fouls_over_24_5,Fouls O24.5,FOULS,24.5,376,0.30319148936170215,0.540174628960317,0.18220748103385373,0.7127659574468085
2024/2025,home_fouls_over_9_5,Home Fouls O9.5,HOME FOULS,9.5,376,0.6356382978723404,0.5953249707988951,0.20430346979742758,0.6968085106382979
2024/2025,away_fouls_over_9_5,Away Fouls O9.5,AWAY FOULS,9.5,376,0.6728723404255319,0.5832779939396203,0.19779414458096214,0.7047872340425532
2024/2025,first_half_over_0_5,1H Goals O0.5,1ST HALF GOALS,0.5,376,0.7659574468085106,0.5105758884962827,0.16578181217987786,0.773936170212766
2024/2025,first_half_over_1_5,1H Goals O1.5,1ST HALF GOALS,1.5,376,0.36436170212765956,0.6362539090669436,0.22255948373218687,0.6329787234042553
2024/2025,first_half_btts,1H BTTS,1ST HALF GG/NG,0.5,376,0.2127659574468085,0.503038040759975,0.1629852396939439,0.7845744680851063
2025/2026,corners_over_8_5,Corners O8.5,CORNERS,8.5,257,0.6536964980544747,0.6338884642388625,0.22125894762042386,0.6575875486381323
2025/2026,corners_over_9_5,Corners O9.5,CORNERS,9.5,257,0.5603112840466926,0.6754493362614501,0.2414482582428295,0.5603112840466926
2025/2026,corners_over_10_5,Corners O10.5,CORNERS,10.5,257,0.4280155642023346,0.6658800590019857,0.23678248272669167,0.5758754863813229
2025/2026,home_corners_over_4_5,Home Corners O4.5,HOME CORNERS,4.5,257,0.5797665369649806,0.6283795147950383,0.22105430196701598,0.622568093385214
2025/2026,away_corners_over_3_5,Away Corners O3.5,AWAY CORNERS,3.5,257,0.6264591439688716,0.6084395923539547,0.2106287750803687,0.6653696498054474
2025/2026,bookings_over_3_5,Bookings O3.5,BOOKINGS,3.5,257,0.5330739299610895,0.6628529957828527,0.23546597787754958,0.5797665369649806
2025/2026,bookings_over_4_5,Bookings O4.5,BOOKINGS,4.5,257,0.35019455252918286,0.6343840231559977,0.22166706508021125,0.6498054474708171
2025/2026,bookings_over_5_5,Bookings O5.5,BOOKINGS,5.5,257,0.17898832684824903,0.46136833838141095,0.14358805142602687,0.8210116731517509
2025/2026,home_bookings_over_1_5,Home Bookings O1.5,HOME BOOKINGS,1.5,257,0.48638132295719844,0.6835106286533525,0.24523039612217257,0.5252918287937743
2025/2026,away_bookings_over_1_5,Away Bookings O1.5,AWAY BOOKINGS,1.5,257,0.6614785992217899,0.6270458916178351,0.21833069831896507,0.6575875486381323
2025/2026,shots_over_22_5,Shots O22.5,SHOTS,22.5,257,0.6731517509727627,0.3149836180138748,0.09217624310357611,0.8832684824902723
2025/2026,shots_over_24_5,Shots O24.5,SHOTS,24.5,257,0.48638132295719844,0.3795021067176408,0.11829194959108454,0.8404669260700389
2025/2026,shots_over_26_5,Shots O26.5,SHOTS,26.5,257,0.3463035019455253,0.38309651816145324,0.11928443780047235,0.8326848249027238
2025/2026,home_shots_over_11_5,Home Shots O11.5,HOME SHOTS,11.5,257,0.6459143968871596,0.196181937869917,0.05765865714774717,0.9221789883268483
2025/2026,away_shots_over_9_5,Away Shots O9.5,AWAY SHOTS,9.5,257,0.5836575875486382,0.19135006789170197,0.05511679376491025,0.9260700389105059
2025/2026,sot_over_7_5,SOT O7.5,SHOTS ON TARGET,7.5,257,0.5797665369649806,0.6078972790482767,0.21035279292884745,0.6653696498054474
2025/2026,sot_over_8_5,SOT O8.5,SHOTS ON TARGET,8.5,257,0.44357976653696496,0.6070197276633172,0.21022192038774154,0.6575875486381323
2025/2026,sot_over_9_5,SOT O9.5,SHOTS ON TARGET,9.5,257,0.2918287937743191,0.5579210109679877,0.18909455200974137,0.7159533073929961
2025/2026,home_sot_over_3_5,Home SOT O3.5,HOME SOT,3.5,257,0.6381322957198443,0.5059322496845484,0.16936266543285827,0.7665369649805448
2025/2026,away_sot_over_2_5,Away SOT O2.5,AWAY SOT,2.5,257,0.7276264591439688,0.4323252473286288,0.13628303007008952,0.8093385214007782
2025/2026,fouls_over_20_5,Fouls O20.5,FOULS,20.5,257,0.5486381322957199,0.6468731615010312,0.22861064353563004,0.6147859922178989
2025/2026,fouls_over_22_5,Fouls O22.5,FOULS,22.5,257,0.377431906614786,0.6373440593647216,0.222785105459355,0.6614785992217899
2025/2026,fouls_over_24_5,Fouls O24.5,FOULS,24.5,257,0.2723735408560311,0.534014279292466,0.17879095933835493,0.7237354085603113
2025/2026,home_fouls_over_9_5,Home Fouls O9.5,HOME FOULS,9.5,257,0.5992217898832685,0.6491954530227616,0.2282856529402152,0.6459143968871596
2025/2026,away_fouls_over_9_5,Away Fouls O9.5,AWAY FOULS,9.5,257,0.6381322957198443,0.6186238269294461,0.214922543565489,0.669260700389105
2025/2026,first_half_over_0_5,1H Goals O0.5,1ST HALF GOALS,0.5,257,0.7315175097276264,0.5712543718411113,0.19187571302283138,0.7315175097276264
2025/2026,first_half_over_1_5,1H Goals O1.5,1ST HALF GOALS,1.5,257,0.33073929961089493,0.6327692798517263,0.22061359436769026,0.6575875486381323
2025/2026,first_half_btts,1H BTTS,1ST HALF GG/NG,0.5,257,0.16731517509727625,0.4480621113837917,0.1387358160490543,0.8326848249027238
